Code,Code of parent class,Label,Description
R5.1.5.1.5,R5.1.5.1,Specialized equipment (CT-scan),
R5.1.6,R5.1,Office buildings,
R5.1.7,R5.1,Industrial buidings,
R5.1.7.1,R5.1.7,Warehouse,
R5.1.8,R5.1,Recreation,
R5.1.8.1,R5.1.8,Museum,
R5.1.8.2,R5.1.8,Cinema,
R5.1.8.3,R5.1.8,Theatre,
R5.1.8.4,R5.1.8,Sports areas,
R5.1.8.4.1,R5.1.8.4,Open,
R5.1.8.4.2,R5.1.8.4,Cover,
R5.1.8.4.2.1,R5.1.8.4.2,Churches,
R5.2,R5,Transport,
R5.2.1,R5.2,Ground,
R5.2.1.1,R5.2.1,Road infrastructure,
R5.2.2,R5.2,Railway,
R5.2.2.1,R5.2.2,Passenger,
R5.2.2.2,R5.2.2,Cargo,
R5.2.2.3,R5.2.2,Subway,
R5.2.3,R5.2,Water,
R5.2.3.1,R5.2.3,Canal,
R5.2.3.2,R5.2.3,Port,
R5.2.3.3,R5.2.3,Lake,
R5.2.4,R5.2,Air,
R5.2.4.1,R5.2.4,Standard Airfield,
R5.2.4.1.2,R5.2.4.1,Civilian,
R5.2.4.1.3,R5.2.4.1,MIlitary,
R5.2.4.2,R5.2.4,Improvised Airfield,
R5.2.4.2.1,R5.2.4.2,Heli,
R6,R,Health intervention points,The health intervention points that can be offered as resource in order to respond to health emergencies
R6.1,R6,Ambulatory care services,
R6.2,R6,Emergency care services,
R6.3,R6,Surgical care services,
R6.4,R6,Inpatient care services ,
R6.5,R6,Home care services,
R6.6,R6,Residential care services,
R6.7,R6,Public health services,
R6.8,R6,Incident side,
R6.8.1,R6.8,Location,
R6.8.1.1,R6.8.1,Urban,
R6.8.1.2,R6.8.1,Rural,
R6.8.2,R6.8,Services,
R6.8.2.1,R6.8.2,Emergency care,
R6.9,R6,Hospitals,
R6.9.1,R6.9,Inpatient,
R6.9.1.1,R6.9.1,Surgical,
R6.9.1.2,R6.9.1,Internal medicine,
R6.9.2,R6.9,Outpatient,
R6.9.3,R6.9,Hospitals for active treatment,
R6.9.3.1,R6.9.3,Poly specialized hospitals ,
R6.9.3.2,R6.9.3,Hospitals for specialized treatment ,
R6.9.3.3,R6.9.3,Hospitals for Continuing Treatment,
R6.9.3.4,R6.9.3,Hospitals for Rehabilitation,
R6.9.4,R6.9,Pre-hospital,
R6.9.4.1,R6.9.4,Centers for Medical Assistance,
R6.9.4.2,R6.9.4,Centers for Specialized Medical Assistance,
R6.9.4.3,R6.9.4,Other than Hospital Treatment Facilities,
R6.9.4.4,R6.9.4,Centers for Emergency Medical Aid,
R6.9.4.5,R6.9.4,Centers for Blood Transfusion and Transfusion Hematology ,
R6.9.4.6,R6.9.4,Dispensaries,
R6.9.5,R6.9,Hospices,
R6.9.5.1,R6.9.5,Installations for Medical Care,
R6.9.5.2,R6.9.5,State Health Controlling Bodies,
R6.9.5.3,R6.9.5,National Center for Radiological Defense Laboratories,
R6.9.5.4,R6.9.5,National Center for Diseases Control and Prevention Laboratories,
R6.9.5.5,R6.9.5,Regional Health Inspectorates,"The Regional Health Inspectorates can have in their structure also: Toxicological Laboratories, Microbiological Laboratories and Radiological Laboratories"
R6.10,R6,Populace,
R6.10.1,R6.10,Public health,
R6.10.2,R6.10,Home Care,
R7,R,Vehicles,Includes all vehicles that can be used during a health emergency
R7.1,R7,Air vehicles,
R7.1.1,R7.1,Aircraft,
R7.1.1.1,R7.1.1,Commercial,
R7.1.1.2,R7.1.1,Cargo,
R7.1.1.2.1,R7.1.1.2,Civilian,
R7.1.1.2.2,R7.1.1.2,Military,
R7.1.2,R7.1,Helicopter,
R7.1.2.1,R7.1.2,Civilian,
R7.1.2.2,R7.1.2,Military,
R7.2,R7,Terrain vehicles,
R7.2.1,R7.2,Car,
R7.2.2,R7.2,Truck,
R7.2.3,R7.2,Motorcycle,
R7.2.4,R7.2,Bus,
R7.2.5,R7.2,Special,
R7.2.5.1,R7.2.5,Fridge trucks,
R7.3,R7,Water vehicles,
R7.3.1,R7.3,Military,
R7.3.1.1,R7.3.1,Cargo,
R7.3.1.2,R7.3.1,Floating hospital,
R7.3.1,R7.3,Civilian,
R7.3.1.1,R7.3.1,Passenger,
R7.3.1.2,R7.3.1,Cargo,
R7.3.1.3,R7.3.1,Floating hospital,
R7.4,R7,Rail,
R7.4.1,R7.4,Surface,
R7.4.1.1,R7.4.1,Train,
R7.4.1.1.1,R7.4.1.1,Passenger,
R7.4.1.1.2,R7.4.1.1,Cargo,
R7.4.1.2,R7.4.1,Tram,
R7.4.2,R7.4,Underground,
R7.4.2.1,R7.4.2,Subway,
